Company,cik,permno
EDUCATIONAL DEVELOPMENT CORP,31667,31668
MEDQUIST INC,884497,77575
FX ENERGY INC,907649,83659
3 DIMENSIONAL PHARMACEUTICALS IN,914201,88514
IOMED INC,1041652,85946
WESTERN MULTIPLEX CORP,1112263,88585
BE INC,895921,87101
STATE FINANCIAL SERVICES CORP,745614,76443
LIFEPOINT INC,910523,87839
CHRONIMED INC,883813,77427
REALNETWORKS INC,1046327,85576
MATTHEWS INTERNATIONAL CORP,63296,80759
LITRONIC INC,1078717,86982
UNIVERSAL DISPLAY CORP,1005284,77610
LILLIAN VERNON CORP,818008,75174
ABIOMED INC,815094,75107
NYER MEDICAL GROUP INC,884647,77673
PRINCETON VIDEO IMAGE,1009833,85713
ALLOY ONLINE INC,1080359,86878
EXCEL TECHNOLOGY INC,873603,77010
RAMTRON INTERNATIONAL CORP,849502,78910
FRIEDMANS INC,911004,79695
COVALENT GROUP INC,856569,85685
FIRSTCITY FINANCIAL CORP,828678,82571
APPLICA INC,217084,83142
APPLIED MICRO CIRCUITS CORP,711065,85522
BIO PLEXUS INC,865532,80612
PREDICTIVE SYSTEMS INC,727489,87363
BANK OF MARIN,1403475,87476
BEASLEY BROADCAST GROUP INC,1099160,87589
OPTIKA INC,1014920,83777
SCHEIB EARL INC,87196,39773
CERUS CORP,1020214,84413
SCHEID VINEYARDS INC,1039213,85213
QUIPP INC,796577,10586
INTEGRATED SURGICAL SYSTEMS INC,894871,12928
CALIPER TECHNOLOGIES CORP,1014672,87478
TRUSTMARK CORP,36146,35263
VERILINK CORP,774937,83709
BLUE RIVER BANCSHARES INC,1055870,86151
WEBFINANCIAL CORP,85149,87192
COURIER CORP,25212,27474
LIBBEY INC,902274,79336
PEGASYSTEMS INC,1013857,83779
COAST DENTAL SERVICES INC,1018920,84517
MIDWEST GRAIN PRODUCTS INC,835011,12226
INSIGNIA SYSTEMS INC,875355,76934
SONUS PHARMACEUTICALS INC,949858,82526
BEL FUSE INC,729580,86242
AAON INC,824142,76868
EAGLE SUPPLY GROUP INC,1016959,86774
SANGAMO BIOSCIENCES INC,1001233,88195
SYPRIS SOLUTIONS INC,864240,80534
WESTERN DIGITAL CORP,106040,66384
STEPAN CO,94049,36898
DELIAS CORP,1076914,86847
AARON RENTS INC,706688,78049
ANNAPOLIS NATIONAL BANCORP INC,1041429,85453
FIRST FINANCIAL BANKSHARES INC,36029,79824
WORLD FUEL SERVICES CORP,789460,75070
HEALTHWATCH INC,725627,41399
ISOMET CORP,52708,46026
MANATRON INC,798736,10709
EARTHLINK INC,1102541,83291
TALX CORP,917524,84134
COMSTOCK RESOURCES INC,23194,11644
INSPIRE PHARMACEUTICALS INC,1040416,88532
WELLCO ENTERPRISES INC,105532,46076
TRANSWITCH CORP,944739,81756
INFORMAX INC,1088724,88731
JORE CORP,1081207,87240
SYNALLOY CORP,95953,43334
ACCESS PHARMACEUTICALS INC,318306,87656
ORTEC INTERNATIONAL INC,889992,83543
MANHATTAN ASSOCIATES INC,1056696,85992
CUMULUS MEDIA INC,1058623,86155
BUCKHEAD AMERICA CORP,909725,80438
INTEGRATED CIRCUIT SYSTEMS INC,874689,88275
CHOICE HOTELS INTERNATIONAL INC,1046311,85517
COSTAR GROUP INC,1057352,86288
SILICON STORAGE TECHNOLOGY INC,855906,82619
EXCHANGE APPLICATIONS INC,1065857,86498
PIXELWORKS INC,1040161,88260
ELOT INC,725282,81219
CRANE CO,25445,20204
HEALTHCARE SERVICES GROUP INC,731012,41292
MEDICIS PHARMACEUTICAL CORP,859368,76391
NEW FOCUS INC,1090215,88254
SEQUENOM INC,1076481,87632
RYLAND GROUP INC,85974,62383
BENTHOS INC,11390,84409
GALAXY NUTRITIONAL FOODS INC,819527,11681
USFREIGHTWAYS CORP,881791,77339
SUMMA INDUSTRIES INC,62262,55160
ARTISOFT INC,877931,76842
DISNEY WALT CO,29082,87436
GOLDFIELD CORP,42316,32299
AIRNET COMMUNICATIONS CORP,944163,87474
MAGELLAN PETROLEUM CORP,61398,89790
KEITHLEY INSTRUMENTS INC,54991,89333
INTERNET COMMERCE CORP,894738,81212
THERMO FIBERTEK INC,886346,78077
AMERICAN CLASSIC VOYAGES CO,315136,77389
STRATTEC SECURITY CORP,933034,81278
ALL AMERICAN SPORTPARK INC,930245,81176
BIG CITY RADIO INC,1046284,85641
CACHEFLOW INC,1095600,87377
STURM RUGER & CO INC,95029,73219
NATIONAL EQUIPMENT SERVICES INC,1051381,86227
WORLD ACCEPTANCE CORP,108385,77114
ENCHIRA BIOTECHNOLOGY CORP,895677,78965
TRACON PHARMACEUTICALS INC,1394319,15184
MEMBERWORKS INC,1020996,84098
INTERLOGIX INC,930542,81089
SEABOARD CORP,88121,36281
PORTA SYSTEMS CORP,79564,63300
EL PASO ELECTRIC CO,31978,82855
AMERICA SERVICE GROUP INC,877476,77087
TRANS WORLD AIRLINES INC,278327,81924
ACORN PRODUCTS INC,1036713,84998
OMEGA PROTEIN CORP,1053650,85951
MEDICINES CO,1113481,88545
ABRAMS INDUSTRIES INC,1923,10568
FIRST SOUTHERN BANCSHARES INC,934302,81556
CANTERBURY PARK HOLDING CORP,926761,81182
DIACRIN INC,887137,83859
OFFSHORE LOGISTICS INC,73887,59089
DIME COMMUNITY BANCSHARES INC,1005409,83815
ABLEST INC,46653,41444
MAXWELL TECHNOLOGIES INC,319815,51960
FECHTOR DETWILER MITCHELL & CO,746425,10177
GISH BIOMEDICAL INC,700945,12024
INITIO INC,50505,44223
MAX & ERMAS RESTAURANTS INC,706471,51984
VIASAT INC,797721,84348
BINDVIEW DEVELOPMENT CORP,1061646,86244
EMERGE INTERACTIVE INC,1092605,87603
LARGE SCALE BIOLOGY CORP,1108951,88540
RENTRAK CORP,800458,10853
ILLUMINA INC,1110803,88446
PHAR MOR INC,764960,82514
PERKINELMER INC,31791,42200
SOUTHWESTERN ENERGY CO,7332,63765
ADVANCED PHOTONIX INC,869986,76879
PAR TECHNOLOGY CORP,708821,61146
MACROMEDIA INC,913949,79991
FIDELITY FEDERAL BANCORP,910492,11646
BEAZER HOMES USA INC,915840,80193
SIZZLER INTERNATIONAL INC,870760,56354
PRIMEDIA INC,884382,82640
EXACT SCIENCES CORP,1124140,88863
SPORT CHALET INC,892907,90909
NATIONAL INSTRUMENTS CORP,935494,81501
BAIRNCO CORP,350750,62797
STAFF LEASING INC,1035185,85042
U S WIRELESS CORP,912083,80702
WITNESS SYSTEMS INC,1097338,87646
LEE ENTERPRISES INC,58361,50286
MEGO FINANCIAL CORP,736035,76526
TRICO BANCSHARES,356171,79116
ACME COMMUNICATIONS INC,1092013,87219
WESTERN OHIO FINANCIAL CORP,920769,80776
BIG DOG HOLDINGS INC,1019439,85356
RAYONIER ADVANCED MATERIALS INC,1597672,14682
MICROS SYSTEMS INC,320345,53480
HERCULES INC,46989,18016
DIGI INTERNATIONAL INC,854775,75831
PREMIER CONCEPTS INC,879206,84732
21ST CENTURY HOLDING CO,1069996,86435
IMPAX LABORATORIES INC,1003642,82702
US LEC CORP,1054290,85971
WILMINGTON TRUST CORP,872821,83030
FORTRESS GROUP INC,1010607,83506
ALIGN TECHNOLOGY INC,1097149,88860
ROME BANCORP INC,1088144,87340
FIRST BANKS AMERICA INC,310979,63511
WATSON WYATT & CO HOLDINGS,1103126,88681
INTERACTIVE INTELLIGENCE INC,1083318,87264
METEOR INDUSTRIES INC,912875,85068
DYNAMICS RESEARCH CORP,30822,31070
PROVIDENT BANKSHARES CORP,818969,11823
KOS PHARMACEUTICALS INC,1018952,84620
ARCH WIRELESS INC,915390,77265
COMVERSE TECHNOLOGY INC,803014,10942
BAY VIEW CAPITAL CORP,840387,10238
HEADWATERS INC,1003344,86042
WICKES INC,910620,79745
TVIA INC,1109279,88577
PSYCHEMEDICS CORP,806517,11043
NEWSEDGE CORP,858912,82172
FIRST MUTUAL BANCSHARES INC,1098337,88007
OVERNITE CORP,1061859,89871
HANCOCK FABRICS INC,812906,75066
CATALINA MARKETING CORP,883977,77472
PRESSTEK INC,846876,75730
GORMAN RUPP CO,42682,53604
ROCKFORD CORP,828064,88192
CIDCO INC,917639,80313
HUNT J B TRANSPORT SERVICES INC,728535,42877
AVALON CORRECTIONAL SERVICES INC,872202,82478
NAVIDEC INC,1023734,84553
CADENCE DESIGN SYSTEMS INC,813672,11403
PAXAR CORP,75681,75083
PEOPLES COMMUNITY BANCORP INC,1100983,87801
KELLWOOD CO,55080,57437
TRIAD GUARANTY INC,911631,79740
SOMANETICS CORP,704328,76990
FIBERCORE INC,917770,88751
GREAT SOUTHERN BANCORP INC,854560,75906
CRAFTMADE INTERNATIONAL INC,856250,76336
NEBULA CARAVEL ACQUISITION CORP,1826018,20441
LANDSTAR SYSTEM INC,853816,78981
RESOURCES CONNECTION INC,1084765,88841
BARRA INC,878483,77204
CASCADE NATURAL GAS CORP,18072,56952
AASTROM BIOSCIENCES INC,887359,84511
INTERCEPT GROUP INC,1054930,86123
OPTIO SOFTWARE INC,1096689,87526
YORK WATER CO,108985,88857
CASTELLE,908605,82685
WORKFLOW MANAGEMENT INC,1055564,86200
VIADOR INC,1089026,87352
CREE INC,895419,78875
FRONTLINE COMMUNICATIONS CORP,1040850,86063
CHAD THERAPEUTICS INC,713492,22518
WALKER INTERACTIVE SYSTEMS INC,883983,77442
CAVALIER HOMES INC,789863,75216
REPTRON ELECTRONICS INC,918765,80360
QUINPARIO ACQUISITION CORP,1620179,14173
LOGANSPORT FINANCIAL CORP,939928,81718
DORAL FINANCIAL CORP,840889,12169
FERRO CORP,35214,21135
CLICK2LEARN COM INC,1052327,86207
ON SEMICONDUCTOR CORP,1097864,88182
PENNROCK FINANCIAL SERVICES CORP,790988,88460
EASTERN CO,31107,31480
LANTRONIX INC,1114925,88542
CYTOGEN CORP,725058,10383
NATCO GROUP INC,1057693,87539
INTERNATIONAL SPEEDWAY CORP,51548,84226
FLORIDA BANKS INC,1058802,86261
NEXTHEALTH INC,855272,75835
ULTRAK INC,318259,77893
CRAWFORD & CO,25475,76274
FAIRCHILD CORP,9779,29532
AVALON HOLDINGS CORP,1061069,86113
GENERAL MOTORS CORP,40730,12079
CARMIKE CINEMAS INC,799088,10750
IMATION CORP,1014111,83602
MEADE INSTRUMENTS CORP,1032067,84746
KROLL O GARA CO,1020476,84243
AMERICAN BIOGENETIC SCIENCES INC,856984,76295
GOLDEN STATE VINTNERS INC,1059581,86301
ARADIGM CORP,1013238,83622
GULF ISLAND FABRICATION INC,1031623,84737
IMMUCOR INC,736822,88867
STANCORP FINANCIAL GROUP INC,1079577,86809
BRASS EAGLE INC,1046112,85589
XYBERNAUT CORP,1013148,83813
FARMSTEAD TELEPHONE GROUP INC,804331,11315
ROBOTIC VISION SYSTEMS INC,225868,67345
HORIZON MEDICAL PRODUCTS INC,1052958,85985
RIVIERA TOOL CO,1018349,84649
INTELEFILM CORP,882160,79147
STEAKHOUSE PARTNERS INC,1017156,85849
CYBER CARE INC,887904,77931
MONTEREY BAY BANCORP INC,930429,81260
LANDAIR CORP,1065932,86359
AMBI INC,744962,10994
JPS INDUSTRIES,846615,85735
UNICOMP INC,792341,11956
SYBASE INC,768262,76792
POCAHONTAS BANCORP INC,1051859,80467
CARDIMA INC,1022570,85005
EARTHWEB INC,1067056,86425
SILICON VALLEY BANCSHARES,719739,11786
INTERNATIONAL SHIPHOLDING CORP,278041,45437
CANDIES INC,857737,76215
FRONTLINE CAPITAL GROUP,1052743,87185
MIRANT CORP,1010775,88601
SEGUE SOFTWARE INC,894572,83309
SUPERIOR UNIFORM GROUP INC,95574,47861
BAR HARBOR BANKSHARES,743367,85332
INTERWORLD CORP,1060326,87169
ROLLINS INC,84839,36003
VISHAY INTERTECHNOLOGY INC,103730,57808
AIR METHODS CORP,816159,11641
USANA HEALTH SCIENCES INC,896264,84010
KEY ENERGY SERVICES INC,318996,63079
INFONOW CORP,879684,77326
VINA TECHNOLOGIES INC,1113428,88579
CROWN MEDIA HOLDINGS INC,1103837,88246
VECTREN CORP,1096385,51633
TELESCAN INC,832175,79877
MIRAVANT MEDICAL TECHNOLOGIES,933745,81576
INFOSPACE INC,1068875,86544
IDEAMALL INC,937941,81566
PAIN THERAPEUTICS INC,1069530,88462
LATIN AMERICAN CASINOS INC,880242,77238
TUESDAY MORNING CORP,878726,86866
BROOKTROUT INC,754516,77993
VIROPHARMA INC,946840,84281
BANCORP RHODE ISLAND INC,1109525,85857
ALICO INC,3545,11790
MEDIA 100 INC,713138,87207
PACIFIC MERCANTILE BANCORP,1109546,88368
BROADVISION INC,920448,83630
MCRAE INDUSTRIES INC,729284,65672
BRUSH ENGINEERED MATERIALS INC,1104657,55597
SONIC CORP,868611,76568
COMARCO INC,22252,24951
HUB GROUP INC,940942,83272
OTTER TAIL POWER CO,75129,60098
HASTINGS ENTERTAINMENT INC,1054579,86209
CACHE INC,350199,20504
EXPRESS SCRIPTS INC,885721,77668
BORLAND SOFTWARE CORP,853273,75902
NATIONAL CITY CORP,69970,56232
WINTRUST FINANCIAL CORP,1015328,84636
C COR NET CORP,350621,20125
UNITED THERAPEUTICS CORP,1082554,87006
NETWOLVES CORP,1084103,88206
EXTENDED SYSTEMS INC,1051490,85894
IMPATH INC,1003114,83141
MERIT MEDICAL SYSTEMS INC,856982,76392
TYLER TECHNOLOGIES INC,860731,76185
ABAXIS INC,881890,77279
GOOD GUYS INC,785931,10035
TRANSWORLD HEALTHCARE INC,890634,78210
SPORTSLINE COM INC,945688,85579
NORTHFIELD LABORATORIES INC,920947,80559
STRATOS LIGHTWAVE INC,1111721,88377
MOORE MEDICAL CORP,74691,67678
OPTELECOM INC,275858,90705
IMMERSION CORP,1058811,87394
COLLEGIATE PACIFIC INC,828747,88283
VANGUARD AIRLINES INC,1000578,82534
MATERIAL SCIENCES CORP,755003,67002
EMCOR GROUP INC,105634,82694
IDEX CORP,832101,75591
U S ENERGY SYSTEMS INC,351917,84345
MIIX GROUP INC,1064063,87036
BENIHANA INC,935226,17671
SUNRISE ASSISTED LIVING INC,1011064,83558
NATIONAL HOME HEALTH CARE CORP,728389,34228
NEWPARK RESOURCES INC,71829,34673
ADVANCED MICRO DEVICES INC,2488,61241
AMCON DISTRIBUTING CO,928465,82171
CALIFORNIA PIZZA KITCHEN INC,789356,88510
MEREDITH CORP,65011,42796
MINDARROW SYSTEMS,1095792,88789
INSWEB CORP,1077370,87074
NATIONAL BANKSHARES INC,796534,87505
REX STORES CORP,744187,68830
FEDERAL TRUST CORP,842640,86162
SYMBOLLON CORP,912086,80044
SCANSOURCE INC,918965,80362
STORAGE COMPUTER CORP,933452,81309
UMPQUA HOLDINGS CORP,1077771,86004
CORNELL COMPANIES INC,1016152,84023
AVIGEN INC,932903,83475
INTERNET PICTURES CORP,1088022,87156
CALLWAVE INC,1115091,90355
MOTHERS WORK INC,896985,78990
MAGAININ PHARMACEUTICALS INC,880431,77171
BLACK HILLS CORP,1130464,61946
NEUROCRINE BIOSCIENCES INC,914475,83534
GADZOOX NETWORKS INC,1084722,87108
LENNOX INTERNATIONAL INC,1069202,87034
GOODRICH PETROLEUM CORP,943861,57509
ABERCROMBIE & FITCH CO,1018840,83976
TEARDROP GOLF CO,1025566,84335
NOVELL INC,758004,90609
ASPEON INC,1021917,84093
BARNES GROUP INC,9984,39693
BETHLEHEM STEEL CORP,11860,10786
COBRA ELECTRONICS CORP,30828,31078
CLASSIC BANCSHARES INC,1001627,82680
SIGMA DESIGNS INC,790715,10259
ALMOST FAMILY INC,799231,75526
DENDRITE INTERNATIONAL INC,880321,81698
GUARANTY BANCSHARES INC,1058867,86067
CONSOL ENERGY INC,1710366,86799
ACCRUE SOFTWARE INC,1087243,87050
SUNHAWK COM,1088116,87631
COGNITRONICS CORP,21438,64901
IBASIS INC,1091756,87392
OYO GEOSPACE CORP,1001115,85567
BLUEFLY INC,1030896,85204
VESTIN GROUP INC,1068132,88156
THISTLE GROUP HOLDINGS CO,1058539,86295
FIRST CAPITAL INC,1070296,86573
CARRIZO OIL & GAS INC,1040593,85280
WESTMINSTER CAPITAL INC,34489,86951
AMYLIN PHARMACEUTICALS INC,881464,77264
PULASKI FINANCIAL CORP,1062438,80569
FRONTIER OIL CORP,110430,56063
AVIATION SALES CO,1012159,83588
SENSAR CORP,789851,75581
PEREGRINE SYSTEMS INC,1031107,84755
FIREBRAND FINANCIAL GROUP INC,814774,83758
PERSISTENCE SOFTWARE INC,1084400,86991
MUNICIPAL MORTGAGE & EQUITY LLC,1003201,83827
UNITY BANCORP INC,920427,84397
HAWTHORNE FINANCIAL CORP,46267,41260
UNIMARK GROUP INC,922712,80853
EPOCH BIOSCIENCES INC,910057,79610
SANDY SPRING BANCORP INC,824410,83414
GREATER ATLANTIC FINANCIAL CORP,1082735,86966
BRADLEY PHARMACEUTICALS INC,864268,77207
MEXICAN RESTAURANTS INC,1009244,83362
SOHU COM INC,1104188,19675
CENTURY CASINOS INC,911147,79791
NATIONSRENT INC,1062515,86309
FLEMING COMPANIES INC,352949,47271
KEANE INC,54883,47248
WESTAFF INC,931911,83429
SKYMALL INC,862841,84333
NEXMED INC,1017491,88177
ANCHOR BANCORP WISCONSIN INC,885322,77783
NANOPHASE TECHNOLOGIES CORP,883107,85565
VALLEY FORGE SCIENTIFIC CORP,836429,76020
PERCEPTRON INC,887226,77868
RENT WAY INC,893046,79525
CHURCHILL DOWNS INC,20212,79026
PAYLESS SHOESOURCE INC,1060232,83333
PARADIGM MEDICAL INDUSTRIES INC,916444,83782
UNIFIRST CORP,717954,65306
SAF T LOK INC,902056,79261
DYNACQ INTERNATIONAL INC,890908,79580
METASOLV INC,916704,87400
PEOPLES FINANCIAL CORP,770460,83954
MEASUREMENT SPECIALTIES INC,778734,12217
STANDARD MANAGEMENT CORP,853971,78912
NETPLIANCE INC,1097297,87795
CENTRAL COAST BANCORP,921085,86056
PROFESSIONALS GROUP INC,1011736,62843
ENVIRONMENTAL ELEMENTS CORP,863893,76222
INAMED CORP,109831,10342
JUNO LIGHTING INC,723888,46843
FARREL CORP,34645,77267
ADVENT SOFTWARE INC,1002225,82546
VIALINK CO,1017137,84224
RAZORFISH INC,1075088,86842
MEDINEX SYSTEMS INC,1054709,86986
MCCLATCHY CO,1056087,75261
STAR SCIENTIFIC INC,776008,87816
RETEK INC,1094360,87412
STORAGE TECHNOLOGY CORP,94673,58464
STANDARD COMMERCIAL CORP,93319,16715
INTERLINK ELECTRONICS,828146,79280
HALIFAX CORP,720671,67942
NUTRACEUTICAL INTERNATIONAL CORP,1050007,85839
TIME WARNER TELECOM INC,1057758,86926
VISTA INFORMATION SOLUTIONS INC,888793,79960
MAXCOR FINANCIAL GROUP INC,931707,84211
ION NETWORKS INC,754813,90174
PROVIDIAN FINANCIAL CORP,1035713,85073
WEGENER CORP,715073,75110
BIOSPHERICS INC,12239,18148
PLASTIC SURGERY CO,1041623,87468
THEGLOBE COM,1066684,86436
MOVADO GROUP INC,72573,79611
HAWKS INDUSTRIES INC,15678,19933
NET PERCEPTIONS INC,1078203,86838
CONCUR TECHNOLOGIES INC,1066026,86525
UNITRIN INC,860748,76136
CATALYST SEMICONDUCTOR INC,899636,79156
PENN AMERICA GROUP INC,910110,79726
LUFKIN INDUSTRIES INC,60849,76489
DUPONT PHOTOMASKS INC,1012128,83650
SYNBIOTICS CORP,719483,73956
ANIKA THERAPEUTICS INC,898437,79150
BIOSPECIFICS TECHNOLOGIES CORP,875622,77208
INTRAWARE INC,1025134,86724
EFUNDS CORP,1109190,88338
GENSTAR THERAPEUTICS CORP,1003929,87838
CHILDTIME LEARNING CENTERS INC,1003648,83125
LASER PACIFIC MEDIA CORP,875738,76791
OVERSEAS SHIPHOLDING GROUP INC,75208,51457
UNITED CAPITAL CORP,65358,55546
MAYTAG CORP,63541,13119
MEDIX RESOURCES,890784,80946
COM21 INC,945379,86060
CENTURY ALUMINUM CO,949157,83244
FIRST COLONIAL GROUP INC,714719,79585
QUESTCOR PHARMACEUTICALS INC,891288,78051
REMEDYTEMP INC,1013467,83789
BALDWIN & LYONS INC,9346,16417
FORWARD AIR CORP,912728,79841
FUSION NETWORKS HOLDINGS INC,1096349,80454
INFORMATICA CORP,1080099,86830
SUPERIOR ENERGY SERVICES INC,886835,77763
RONSON CORP,84919,23472
CENDANT CORP,723612,25487
BASSETT FURNITURE INDUSTRIES INC,10329,17137
LECTEC CORP,805928,10966
MESTEK INC,65195,19289
S Y BANCORP INC,835324,79013
ESOFT INC,1047406,86325
TEKNOWLEDGE CORP,716214,86787
COMMUNITY FINANCIAL GROUP INC,852677,76050
DIGITALTHINK INC,1100514,87599
FUEL TECH N V,846913,79586
AUDIBLE INC,1077926,87051
SYNAGRO TECHNOLOGIES INC,895565,79407
ORPHAN MEDICAL INC,929548,81002
SORRENTO NETWORKS CORP,812491,11381
KENT FINANCIAL SERVICES INC,316028,62084
SMITH MICRO SOFTWARE INC,948708,82281
OCEANFIRST FINANCIAL CORP,1004702,83774
PEGASUS COMMUNICATIONS CORP,1135338,84117
NORTHWAY FINANCIAL INC,1041753,85669
GLOBAL IMAGING SYSTEMS INC,1050167,86166
SCICLONE PHARMACEUTICALS INC,880771,77413
AMPAL AMERICAN ISRAEL CORP,731859,64864
NOTIFY TECHNOLOGY CORP,1031980,85303
DUTCHFORK BANCSHARES INC,1107710,88433
AZTAR CORP,852807,75900
INDYMAC BANCORP INC,773468,67862
RAG SHOPS INC,874385,76687
VILLAGE SUPER MARKET INC,103595,80857
ADVANCED POWER TECHNOLOGY INC,1114973,88501
NATIONAL DATA CORP,70033,56363
KANA COMMUNICATIONS INC,1089907,87241
ARTIFICIAL LIFE INC,1070361,86520
ORTHOVITA INC,913756,88581
MERCHANTS GROUP INC,803027,75176
INTELIDATA TECHNOLOGIES CORP,1021810,84223
SOUTHERN FINANCIAL BANCORP INC,914789,80031
MICROFINANCIAL INC,827230,86595
WIT SOUNDVIEW GROUP INC,1071620,87009
DYAX CORP,907562,88516
METROCALL INC,906525,79400
GATEWAY INC,895812,79973
INFINITY INC,822746,80634
ELMERS RESTAURANTS INC,771214,11262
INVISION TECHNOLOGIES INC,1005969,83383
ATLANTIC DATA SERVICES INC,1052773,86043
WEST ESSEX BANCORP INC,1063438,86393
1LIFE HEALTHCARE INC,1404123,19177
KREISLER MANUFACTURING CORP,56806,48101
TIMBERLAND CO,814361,75101
AMISTAR CORP,741559,14059
APPLIED FILMS CORP,1040660,85521
TROY GROUP INC,1060595,87095
ATLAS AIR INC,941552,82157
HUMBOLDT BANCORP,1008554,87774
ALPHA PRO TECH LTD,884269,87832
DIGITAL ISLAND INC,1084329,86978
CANDELA CORP,793279,10371
VARONIS SYSTEMS INC,1361113,14472
PLATO LEARNING INC,893965,78209
COINSTAR INC,941604,85173
WESTWOOD ONE INC,771950,82668
INTER TEL INC,350066,44637
HUGHES SUPPLY INC,49029,66587
MEDAREX INC,874255,76706
SCIENCE DYNAMICS CORP,350644,69244
UNI MARTS INC,805020,10908
BUILDING MATERIALS HOLDING CORP,1046356,76796
MYTURN COM,1028079,85004
TODD SHIPYARDS CORP,98537,37399
MCGLEN INTERNET GROUP INC,942650,83286
SAVANNAH BANCORP INC,860519,76435
OMNI ENERGY SERVICES CORP,1046212,85707
HARTMARX CORP,723371,22250
LATITUDE COMMUNICATIONS INC,1078425,86932
NETOPIA INC,1012482,83657
PROGRESS SOFTWARE CORP,876167,76752
CLICK COMMERCE INC,1107050,88329
BULL RUN CORP,319697,19749
SMUCKER J M CO,91419,42585
TELECOMMUNICATIONS SYSTEMS INC,726561,88574
VIRAGEN INC,353482,80900
WABTEC CORP,943452,81677
TEGAL CORP,931059,82530
COMMUNITY FIRST BANKSHARES INC,857593,76789
ZENITH NATIONAL INSURANCE CORP,109261,84073
ESPERION THERAPEUTICS INC,1066745,88521
ESPEED INC,1094831,87487
FOCUS UNIVERSAL INC,1590418,21844
TRIMERIS INC,911326,85511
NAVIGANT INTERNATIONAL INC,1055455,86164
EASTERN VIRGINIA BANKSHARES INC,1047170,85728
CRESCENT BANKING CO,883476,86570
QUAD CITY HOLDINGS INC,906465,79731
MAGELLAN HEALTH SERVICES INC,19411,77854
OPEN PLAN SYSTEMS INC,1011738,83549
SIRIUS SATELLITE RADIO INC,908937,80924
PSINET INC,940716,81639
ENTRADA NETWORKS INC,1000695,82620
PEROT SYSTEMS CORP,894253,86602
VIRBAC CORP,922814,80730
ACORN HOLDING CORP,737243,12110
DIGITAL POWER CORP,1032889,84302
HANOVER DIRECT INC,320333,32897
AT COMM CORP,782995,10039
KNIGHT TRADING GROUP INC,1060749,87131
MILESTONE SCIENTIFIC INC,855683,82621
GLOBALNET FINANCIAL COM INC,832324,87322
IMPRESO COM INC,1108345,82533
PARLUX FRAGRANCES INC,802356,11137
UNITED GUARDIAN INC,101295,78749
COMTECH TELECOMMUNICATIONS CORP,23197,26201
CYTOCLONAL PHARMACEUTICS INC,944809,82567
VIASYSTEMS GROUP INC,1101169,87668
VALICERT INC,1114040,88477
SUN HYDRAULICS CORP,1024795,84438
SILICON GRAPHICS INC,802301,10791
NETWORK COMMERCE INC,1087879,87253
PREVIEW SYSTEMS INC,1091271,87527
INTERNATIONAL ALUMINUM CORP,51103,58608
INHALE THERAPEUTIC SYSTEMS,906709,80539
ELIZABETH ARDEN INC,95052,82699
NOVO NETWORKS INC,826773,88806
CYANOTECH CORP,768408,10661
RUDDICK CORP,85704,54818
PACIFIC NORTHWEST BANCORP,949504,76733
XCARE NET INC,1094561,87648
VITAL IMAGES INC,912888,88653
AMERICAN MANAGEMENT SYSTEMS INC,310624,13304
ANNTAYLOR STORES CORP,874214,76671
ENERGYSOUTH INC,1051286,54624
ROSS SYSTEMS INC,873594,76627
ADMINISTAFF INC,1000753,84385
PARKERVISION INC,914139,80019
EAST WEST BANCORP INC,1069157,86719
VITRIA TECHNOLOGY INC,1050808,87265
SKIBO FINANCIAL CORP,1072685,84759
RIGHT MANAGEMENT CONSULTANTS INC,802806,10876
R F INDUSTRIES LTD,740664,86474
HOME FINANCIAL BANCORP,1009242,83764
CARESIDE INC,1070602,87028
INDEPENDENCE COMMUNITY BANK CORP,945734,85876
BLYTH INC,921503,80592
CONSTELLATION BRANDS INC,16918,69796
PATINA OIL & GAS CORP,1006264,83455
VIASOURCE COMMUNICATIONS INC,1111789,88582
ENDOCARE INC,1003464,84529
RARE MEDIUM GROUP INC,756502,11653
GRANT PRIDECO INC,1097313,87660
GRILL CONCEPTS INC,895041,79994
PAWNMART INC,1048142,85887
COLLECTORS UNIVERSE INC,1089143,87379
ORBIT INTERNATIONAL CORP,74818,59871
MANUGISTICS GROUP INC,908440,79505
GETTY IMAGES INC,1047202,85824
PURE WORLD INC,356446,25786
MARGO CARIBE INC,808493,11082
METROLOGIC INSTRUMENTS INC,815910,80942
TANOX INC,1099414,88199
GENTEK INC,1077552,86801
ZAPWORLD COM,1024628,88273
CIRRUS LOGIC INC,772406,75603
AVICI SYSTEMS INC,1094895,88423
HYSEQ INC,907654,85293
TENNECO AUTOMOTIVE INC,1024725,84375
ESCALON MEDICAL CORP,862668,77892
AMCOL INTERNATIONAL CORP,813621,11599
DOUBLECLICK INC,1049480,85816
EZENIA INC,943894,81650
ASPECT MEDICAL SYSTEMS INC,886235,87571
AUTHORISZOR INC,850083,88274
PURCHASEPRO COM INC,1087831,87249
XATA CORP,854398,82763
RIGHT START INC,878720,77040
HEALTH MANAGEMENT SYSTEMS INC,861179,78156
SOLA INTERNATIONAL INC,912088,81290
CROWN CORK & SEAL CO INC,25890,17726
UNITED STATES CELLULAR CORP,821130,75320
ORCHID BIOSCIENCES INC,1107216,88255
SCHUFF STEEL CO,1038368,85210
GIANT INDUSTRIES INC,856465,75881
CASCADE CORP,18061,21726
